,x,y,z,z_pred
0,3.325447003,-0.869890456,-0.048580338,-0.06370180575166526
1,0.19941478,-1.064081258,-0.865776715,-0.8838385987288945
2,0.623499124,1.176376507,-0.796616365,-0.760264426047009
3,0.294015355,-0.907471225,-0.73487558,-0.7475320268746598
4,-0.613311199,-2.226038935,-1.179802436,-1.155625145785344
5,-1.672116346,2.71313503,-0.854489452,-0.8341186393895127
6,-1.563318876,-2.233020364,-0.482015546,-0.5038706493307453
7,1.15051579,-1.246719246,-0.350385228,-0.369266093109187
8,1.408986917,-2.950078178,-0.31215691,-0.3105094012630083
9,1.611016065,0.309849598,-0.089108958,-0.0774631360888575
10,0.477598567,-1.675804835,-0.544577432,-0.5419164978653109
11,-2.318552665,-2.125868748,-0.08610228,-0.0910395994494303
12,-1.579395364,-1.220390098,-0.992873062,-1.0271199888175555
13,-0.441999799,-0.261699817,-1.427437772,-1.4262070726953247
14,2.686617232,-0.104013911,-0.041037409,-0.0374850351988428
15,0.403456083,-0.707319803,-0.585499391,-0.6324615096163941
16,1.823092609,-2.301182829,-0.889736741,-0.8873239999837035
17,-0.341395745,0.449770231,-1.144816855,-1.1350705875063505
18,0.027416709,-1.711451821,-0.985730874,-0.9770130169442381
19,0.248109169,-2.17359968,-0.669606505,-0.6641109620155373
20,-2.678931647,2.781295894,-0.551792212,-0.5232252697981434
21,-0.195954334,1.451166551,-1.653030735,-1.681200275676804
22,-2.647571163,-1.696171709,-0.050729525,-0.07218977339371023
23,-0.358974155,-1.236835467,-1.609352711,-1.6152726169772247
24,-3.067917332,0.88211596,-0.28837132,-0.31269756396758425
25,0.281333108,0.365938351,-0.642648803,-0.6454646425304993
26,0.18323468,0.433185038,-0.744704466,-0.7582966684621766
27,-1.313063531,-0.57664457,-1.275481523,-1.2972423003193374
28,-2.048978234,-1.036863249,-0.423178202,-0.4860958328992765
29,-2.518089052,0.295642194,-0.090413814,-0.10788945937921625
30,-1.068320127,-1.008181465,-1.7194073,-1.7261348330008661
31,0.737052857,-0.571896455,-0.284968111,-0.2475540833350605
32,2.705393613,-1.254811129,-0.349014687,-0.3629944590778827
33,0.156054035,0.459760069,-0.774896272,-0.7747956469497973
34,-0.480683991,-3.205388148,-1.006020369,-0.9810876801703469
35,0.684174456,1.069054597,-0.673107919,-0.6699918109692855
